team_no	start	end	attempt_no	turn_no	event_no	subject	verb	object
15	0.389	0.389	1	1	1	R	shows	observe gesture
15	0.480	0.480	1	1	2	R	says	So, Sally and Anne, let's start building the tracks. I count on you guys. Are you ready? Also, you need to play this game together, as both of you will see different views at all times. You can talk now to help each other. To see my instructions again, check the information icon on your screens. Time to play. Let's Go!
15	45.981	45.981	1	1	16	B	presses	help (enabled)
15	47.070	47.070	1	1	17	A	adds	Zermatt-Davos (4-9)
15	53.907	53.907	1	1	19	A	adds	Zermatt-Montreux (4-6)
15	53.974	53.974	1	2	20	R	shows	thinking gesture
15	53.991	53.991	1	2	21	R	says	(Hmm) I see.
15	60.703	60.703	1	2	23	B	adds	Luzern-Zermatt (1-4)
15	91.014	91.014	1	2	34	B	adds	Luzern-Davos (1-9)
15	96.968	96.968	1	3	40	B	presses	submit (disabled)
15	98.010	98.010	1	3	42	B	presses	submit (disabled)
15	98.243	98.243	1	3	44	B	presses	submit (disabled)
15	98.476	98.476	1	3	46	B	presses	submit (disabled)
15	98.743	98.743	1	3	48	B	presses	submit (disabled)
15	98.802	98.802	1	3	49	A	adds	Gallen-Davos (8-9)
15	99.476	99.476	1	3	51	B	presses	submit (disabled)
15	101.594	101.594	1	3	53	A	adds	Zurich-Gallen (2-8)
15	107.801	107.801	1	4	57	B	removes	Luzern-Zermatt (1-4)
15	115.051	115.051	1	4	61	B	removes	Luzern-Davos (1-9)
15	117.169	117.169	1	5	63	B	presses	submit (disabled)
15	118.502	118.502	1	5	65	B	presses	submit (disabled)
15	118.685	118.685	1	5	67	B	presses	submit (disabled)
15	118.937	118.937	1	5	69	B	presses	submit (disabled)
15	119.118	119.118	1	5	71	B	presses	submit (disabled)
15	119.451	119.451	1	5	73	B	presses	submit (disabled)
15	119.734	119.734	1	5	75	B	presses	submit (disabled)
15	120.067	120.067	1	5	77	B	presses	submit (disabled)
15	120.369	120.369	1	5	80	B	presses	submit (disabled)
15	120.551	120.551	1	5	83	B	presses	submit (disabled)
15	120.707	120.707	1	5	85	B	presses	submit (disabled)
15	120.870	120.870	1	5	87	B	presses	submit (disabled)
15	121.017	121.017	1	5	89	B	presses	submit (disabled)
15	121.184	121.184	1	5	91	B	presses	submit (disabled)
15	121.350	121.350	1	5	93	B	presses	submit (disabled)
15	121.368	121.368	1	5	94	A	adds	Montreux-Neuchatel (6-7)
15	121.817	121.817	1	5	96	B	presses	submit (disabled)
15	128.614	128.614	1	5	98	B	presses	help (enabled)
15	131.174	131.174	1	5	100	A	presses	help (enabled)
15	158.035	158.035	1	5	106	B	presses	submit (disabled)
15	158.319	158.319	1	5	108	B	presses	submit (disabled)
15	158.735	158.735	1	5	110	B	presses	submit (disabled)
15	158.919	158.919	1	5	112	B	presses	submit (disabled)
15	160.084	160.084	1	5	116	A	adds	Luzern-Zermatt (1-4)
15	168.799	168.799	1	6	123	B	removes	Luzern-Zermatt (1-4)
15	176.540	176.540	1	6	131	B	adds	Luzern-Zurich (1-2)
15	181.533	181.533	1	7	133	B	presses	help (enabled)
15	191.551	191.551	1	7	137	A	adds	Zurich-Bern (2-3)
15	193.100	193.100	1	7	141	B	presses	submit (disabled)
15	193.920	193.920	1	7	142	A	adds	Interlaken-Bern (5-3)
15	207.684	207.684	1	8	145	B	removes	Interlaken-Bern (5-3)
15	211.193	211.193	1	8	147	B	removes	Zurich-Bern (2-3)
15	218.767	218.767	1	9	153	B	presses	submit (disabled)
15	220.602	220.602	1	9	155	B	presses	submit (disabled)
15	220.719	220.719	1	9	157	B	presses	submit (disabled)
15	220.864	220.864	1	9	159	B	presses	submit (disabled)
15	221.790	221.790	1	9	161	A	removes	Montreux-Neuchatel (6-7)
15	227.510	227.510	1	9	165	B	presses	submit (disabled)
15	227.702	227.702	1	9	167	B	presses	submit (disabled)
15	227.863	227.863	1	9	169	B	presses	submit (disabled)
15	227.949	227.949	1	9	170	A	removes	Luzern-Zurich (1-2)
15	233.103	233.103	1	10	172	B	adds	Luzern-Zurich (1-2)
15	235.053	235.053	1	10	174	B	adds	Luzern-Bern (1-3)
15	237.706	237.706	1	11	176	B	presses	submit (disabled)
15	237.904	237.904	1	11	178	B	presses	submit (disabled)
15	238.086	238.086	1	11	180	B	presses	submit (disabled)
15	238.253	238.253	1	11	182	B	presses	submit (disabled)
15	238.469	238.469	1	11	184	B	presses	submit (disabled)
15	238.753	238.753	1	11	186	B	presses	submit (disabled)
15	238.986	238.986	1	11	189	B	presses	submit (disabled)
15	239.171	239.171	1	11	191	B	presses	submit (disabled)
15	239.319	239.319	1	11	193	B	presses	submit (disabled)
15	239.536	239.536	1	11	195	B	presses	submit (disabled)
15	241.068	241.068	1	11	197	B	presses	submit (disabled)
15	241.371	241.371	1	11	199	B	presses	submit (disabled)
15	241.671	241.671	1	11	201	B	presses	submit (disabled)
15	242.137	242.137	1	11	203	B	presses	submit (disabled)
15	242.351	242.351	1	11	205	B	presses	submit (disabled)
15	242.584	242.584	1	11	207	B	presses	submit (disabled)
15	242.784	242.784	1	11	209	B	presses	submit (disabled)
15	243.037	243.037	1	11	211	B	presses	submit (disabled)
15	243.251	243.251	1	11	213	B	presses	submit (disabled)
15	243.440	243.440	1	11	215	B	presses	submit (disabled)
15	243.650	243.650	1	11	217	B	presses	submit (disabled)
15	244.001	244.001	1	11	219	B	presses	submit (disabled)
15	244.203	244.203	1	11	221	B	presses	submit (disabled)
15	244.370	244.370	1	11	223	B	presses	submit (disabled)
15	247.941	247.941	1	11	226	A	adds	Basel-Bern (0-3)
15	252.225	252.225	1	11	228	A	adds	Basel-Neuchatel (0-7)
15	261.403	261.403	1	12	232	B	adds	Montreux-Neuchatel (6-7)
15	278.974	278.974	1	12	240	R	shows	observe gesture
15	279.445	279.445	1	12	241	B	removes	Montreux-Neuchatel (6-7)
15	286.766	286.766	1	13	245	A	adds	Interlaken-Montreux (5-6)
15	286.993	286.993	1	13	246	R	shows	observe gesture
15	294.701	294.701	1	13	248	B	presses	submit (enabled)
