corpus_no,group_no,attempt_no,cost,abs_error,error,num_turn,num_action,duration,start,end,num_add,num_del,num_edit,freq_add,freq_del,num_histload,freq_histload,success
1,6,1,24.0,2.0,0.09090909090909091,21,72,1013.047,0.122,1013.169,25,16,41,0.6097560975609756,0.3902439024390244,0,-1.0,False
1,6,2,22.0,0.0,0.0,8,28,337.4139999999999,1025.0610000000001,1350.5829999999999,12,3,15,0.8,0.19999999999999996,0,0.0,True
1,7,1,64.0,42.0,1.9090909090909092,14,50,264.24,0.315,264.555,23,3,26,0.8846153846153846,0.11538461538461542,0,-1.0,False
1,7,2,64.0,42.0,1.9090909090909092,4,23,75.149,277.949,339.704,5,2,7,0.7142857142857143,0.2857142857142857,5,1.6666666666666667,False
1,7,3,29.0,7.0,0.3181818181818182,6,16,45.036,355.73,384.74,10,0,10,1.0,0.0,0,-1.0,False
1,7,4,30.0,8.0,0.36363636363636365,8,21,103.87599999999998,397.215,488.616,12,2,14,0.8571428571428571,0.1428571428571429,0,-1.0,False
1,7,5,31.0,9.0,0.4090909090909091,7,23,90.40700000000004,501.269,579.023,11,1,12,0.9166666666666666,0.08333333333333337,0,-1.0,False
1,7,6,31.0,9.0,0.4090909090909091,10,24,94.255,586.504,673.278,14,4,18,0.7777777777777778,0.2222222222222222,0,-1.0,False
1,7,7,31.0,9.0,0.4090909090909091,6,18,58.610000000000014,697.498,731.888,10,0,10,1.0,0.0,0,-1.0,False
1,7,8,30.0,8.0,0.36363636363636365,8,30,66.548,742.335,798.436,12,3,15,0.8,0.19999999999999996,0,-1.0,False
1,7,9,28.0,6.0,0.2727272727272727,5,15,41.75999999999999,811.747,840.196,9,0,9,1.0,0.0,0,-1.0,False
1,7,10,32.0,10.0,0.45454545454545453,5,18,77.70500000000004,866.564,917.9010000000001,9,0,9,1.0,0.0,0,-1.0,False
1,7,11,31.0,9.0,0.4090909090909091,5,15,90.68499999999995,942.6469999999999,1008.586,9,0,9,1.0,0.0,0,-1.0,False
1,7,12,27.0,5.0,0.22727272727272727,5,15,63.0,1022.265,1071.586,9,0,9,1.0,0.0,0,-1.0,False
1,7,13,33.0,11.0,0.5,6,62,143.77199999999993,1104.063,1215.358,11,0,11,1.0,0.0,0,0.0,False
1,7,14,29.0,7.0,0.3181818181818182,6,19,66.5909999999999,1224.847,1281.9489999999998,10,1,11,0.9090909090909091,0.09090909090909094,0,0.0,False
1,7,15,27.0,5.0,0.22727272727272727,5,18,66.07400000000007,1295.565,1348.023,9,0,9,1.0,0.0,0,-1.0,False
1,7,16,25.0,3.0,0.13636363636363635,5,15,77.1070000000002,1378.396,1425.13,9,0,9,1.0,0.0,0,-1.0,False
1,7,17,29.0,7.0,0.3181818181818182,5,20,72.63200000000006,1441.3129999999999,1497.7620000000002,9,0,9,1.0,0.0,0,-1.0,False
1,7,18,25.0,3.0,0.13636363636363635,5,17,66.66399999999999,1501.487,1564.4260000000002,9,0,9,1.0,0.0,0,0.0,False
1,7,19,,,,1,1,17.016999999999825,1581.443,1581.443,0,0,0,-1.0,2.0,0,0.0,False
1,8,1,28.0,6.0,0.2727272727272727,17,65,766.31,0.386,766.696,21,11,32,0.65625,0.34375,0,-1.0,False
1,8,2,29.0,7.0,0.3181818181818182,5,19,149.52700000000004,778.8439999999999,916.2230000000001,9,0,9,1.0,0.0,0,0.0,False
1,8,3,25.0,3.0,0.13636363636363635,5,17,133.72199999999987,994.176,1049.945,9,0,9,1.0,0.0,0,0.0,False
1,8,4,31.0,9.0,0.4090909090909091,5,15,57.33699999999999,1070.637,1107.282,9,0,9,1.0,0.0,0,-1.0,False
1,8,5,25.0,3.0,0.13636363636363635,5,18,86.97800000000007,1144.675,1194.26,9,0,9,1.0,0.0,0,-1.0,False
1,8,6,28.0,6.0,0.2727272727272727,5,41,121.529,1205.108,1315.789,9,0,9,1.0,0.0,0,0.0,False
1,8,7,33.0,11.0,0.5,6,19,103.56099999999992,1323.408,1419.35,10,0,10,1.0,0.0,0,0.0,False
1,8,8,29.0,7.0,0.3181818181818182,6,52,99.55000000000018,1434.905,1518.9,10,0,10,1.0,0.0,0,0.0,False
1,8,9,31.0,9.0,0.4090909090909091,6,17,40.819999999999936,1532.191,1559.72,10,0,10,1.0,0.0,0,-1.0,False
1,9,1,30.0,8.0,0.36363636363636365,11,44,758.514,0.226,758.74,15,5,20,0.75,0.25,0,-1.0,False
1,9,2,29.0,7.0,0.3181818181818182,3,24,244.3989999999999,771.056,1003.1389999999999,2,2,4,0.5,0.5,8,4.0,False
1,9,3,30.0,8.0,0.36363636363636365,7,25,307.5310000000002,1018.155,1310.67,11,1,12,0.9166666666666666,0.08333333333333337,0,0.0,False
1,9,4,29.0,7.0,0.3181818181818182,6,33,213.6529999999998,1318.836,1524.3229999999999,11,0,11,1.0,0.0,0,0.0,False
1,9,5,28.0,6.0,0.2727272727272727,4,18,130.78200000000015,1547.119,1655.105,2,3,5,0.4,0.6,1,0.5,False
1,9,6,27.0,5.0,0.22727272727272727,2,18,105.42599999999993,1666.585,1760.531,1,1,2,0.5,0.5,1,0.25,False
1,9,7,23.0,1.0,0.045454545454545456,1,10,51.94900000000007,1777.1,1812.48,0,1,1,0.0,1.0,1,1.0,False
1,9,8,26.0,4.0,0.18181818181818182,2,11,42.57100000000014,1824.3770000000002,1855.0510000000002,1,1,2,0.5,0.5,1,1.0,False
1,9,9,25.0,3.0,0.13636363636363635,3,17,86.52099999999996,1862.234,1941.5720000000001,2,2,4,0.5,0.5,1,0.5,False
1,9,10,26.0,4.0,0.18181818181818182,2,14,58.91599999999971,1949.717,2000.4879999999998,1,1,2,0.5,0.5,1,1.0,False
1,9,11,24.0,2.0,0.09090909090909091,2,40,108.08100000000013,2019.695,2108.569,1,1,2,0.5,0.5,5,0.7142857142857143,False
1,9,12,29.0,7.0,0.3181818181818182,2,12,44.45600000000013,2119.45,2153.025,2,1,3,0.6666666666666666,0.33333333333333337,1,1.0,False
1,10,1,37.0,15.0,0.6818181818181818,7,48,437.102,0.204,437.306,12,0,12,1.0,0.0,0,-1.0,False
1,10,2,37.0,15.0,0.6818181818181818,1,27,53.62800000000004,453.94199999999995,490.934,0,0,0,-1.0,2.0,8,2.0,False
1,10,3,27.0,5.0,0.22727272727272727,5,17,111.161,508.288,602.095,9,0,9,1.0,0.0,0,-1.0,False
1,10,4,34.0,12.0,0.5454545454545454,6,16,82.6869999999999,619.2180000000001,684.7819999999999,10,0,10,1.0,0.0,0,-1.0,False
1,10,5,26.0,4.0,0.18181818181818182,5,18,127.19000000000005,708.076,811.972,9,0,9,1.0,0.0,0,-1.0,False
1,10,6,25.0,3.0,0.13636363636363635,5,15,72.72400000000005,829.2,884.696,9,0,9,1.0,0.0,0,-1.0,False
1,10,7,25.0,3.0,0.13636363636363635,5,15,57.69500000000005,901.666,942.3910000000001,9,0,9,1.0,0.0,0,-1.0,False
1,10,8,26.0,4.0,0.18181818181818182,5,15,83.94299999999976,952.875,1026.3339999999998,9,0,9,1.0,0.0,0,-1.0,False
1,10,9,26.0,4.0,0.18181818181818182,5,15,57.353000000000065,1043.5639999999999,1083.687,9,0,9,1.0,0.0,0,-1.0,False
1,10,10,26.0,4.0,0.18181818181818182,5,18,62.20100000000002,1093.9360000000001,1145.888,9,0,9,1.0,0.0,0,-1.0,False
1,10,11,27.0,5.0,0.22727272727272727,5,15,75.64900000000011,1165.333,1221.537,9,0,9,1.0,0.0,0,-1.0,False
1,10,12,32.0,10.0,0.45454545454545453,8,81,154.20399999999995,1257.633,1375.741,12,2,14,0.8571428571428571,0.1428571428571429,0,0.0,False
1,11,1,64.0,42.0,1.9090909090909092,11,40,254.681,0.371,255.05200000000002,20,0,20,1.0,0.0,0,-1.0,False
1,11,2,50.0,28.0,1.2727272727272727,9,40,151.92999999999995,267.131,406.98199999999997,5,10,15,0.3333333333333333,0.6666666666666667,5,0.7142857142857143,False
1,11,3,36.0,14.0,0.6363636363636364,7,18,82.66900000000004,420.092,489.651,12,0,12,1.0,0.0,0,-1.0,False
1,11,4,35.0,13.0,0.5909090909090909,7,21,97.368,503.42699999999996,587.019,12,0,12,1.0,0.0,1,-1.0,False
1,11,5,32.0,10.0,0.45454545454545453,7,21,68.79200000000003,598.347,655.811,11,1,12,0.9166666666666666,0.08333333333333337,0,-1.0,False
1,11,6,35.0,13.0,0.5909090909090909,7,35,114.582,665.48,770.393,12,1,13,0.9230769230769231,0.07692307692307687,0,0.0,False
1,11,7,29.0,7.0,0.3181818181818182,5,20,66.255,792.183,836.648,9,0,9,1.0,0.0,0,0.0,False
1,11,8,24.0,2.0,0.09090909090909091,5,22,65.96699999999998,850.3489999999999,902.615,9,0,9,1.0,0.0,0,0.0,False
1,11,9,31.0,9.0,0.4090909090909091,6,19,71.04600000000005,917.8580000000001,973.6610000000001,10,0,10,1.0,0.0,0,0.0,False
1,11,10,23.0,1.0,0.045454545454545456,5,55,316.4749999999999,982.925,1290.136,9,0,9,1.0,0.0,0,0.0,False
1,11,11,25.0,3.0,0.13636363636363635,6,39,273.08100000000013,1302.538,1563.217,10,1,11,0.9090909090909091,0.09090909090909094,0,0.0,False
1,11,12,,,,2,13,22.788999999999987,1576.5929999999998,1586.006,2,0,2,1.0,0.0,0,0.0,False
1,12,1,33.0,11.0,0.5,6,27,173.624,0.064,173.688,10,0,10,1.0,0.0,0,-1.0,False
1,12,2,37.0,15.0,0.6818181818181818,7,29,219.971,183.729,393.659,13,0,13,1.0,0.0,0,0.0,False
