Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns	turn_list
3	3	5	mount bern to mount interlaken	455	296	2	A	160, 241, 455	[160, 241, 455]
3	3	5	mount bern to mount luzern	326	74	1	B	254, 326, 327	[254, 326, 327]
3	3	5	mount gallen to mount davos	450	305	1	A	203, 450, 507	[203, 450, 507]
3	3	5	mount neuchatel to mount basel	507	213	2	A	295, 417, 507	[295, 417, 507]
2	2	5	gallen to mount davos .	507	312	1	A	196, 507	[196, 507]
2	2	5	mount zermatt to mount luzern	457	3	1	B	455, 457	[455, 457]
8	2	4	mount bern to mount	160	299	1	B	157, 160, 241, 254, 326, 327, 402, 455	[157, 160, 241, 254, 326, 327, 402, 455]
7	7	4	mount zurich to mount	186	390	1	A	118, 186, 201, 329, 394, 450, 507	[118, 186, 201, 329, 394, 450, 507]
5	3	4	to mount davos .	507	434	3	A	118, 130, 196, 507, 551	[118, 130, 196, 507, 551]
4	4	4	mount basel to mount	328	268	1	A	240, 328, 450, 507	[240, 328, 450, 507]
4	4	4	mount davos to mount	210	259	1	A	175, 210, 348, 433	[175, 210, 348, 433]
4	2	4	mount zermatt to mount	455	239	2	A	219, 387, 455, 457	[219, 387, 455, 457]
4	1	4	neuchatel to mount basel	450	213	2	A	295, 417, 450, 507	[295, 417, 450, 507]
4	4	4	to mount bern .	313	331	1	A	240, 313, 475, 570	[240, 313, 475, 570]
4	4	4	to mount gallen .	201	352	1	A	180, 201, 348, 531	[180, 201, 348, 531]
4	4	4	to mount luzern .	327	223	2	B	107, 153, 327, 329	[107, 153, 327, 329]
2	2	4	, mount zermatt to	455	355	1	A	101, 455	[101, 455]
2	2	4	go to mount bern	570	257	1	A	314, 570	[314, 570]
2	2	4	to mount bern ?	567	174	1	A	394, 567	[394, 567]
11	3	3	to mount luzern	326	351	4	B	107, 153, 254, 259, 326, 327, 329, 394, 434, 455, 457	[107, 153, 254, 259, 326, 327, 329, 394, 434, 455, 457]
9	5	3	mount bern .	240	433	2	B	138, 152, 240, 258, 293, 313, 475, 565, 570	[138, 152, 240, 258, 293, 313, 475, 565, 570]
9	3	3	to mount davos	450	435	5	A	118, 130, 196, 203, 387, 450, 507, 551, 552	[118, 130, 196, 203, 387, 450, 507, 551, 552]
8	1	3	mount zurich to	417	390	1	A	118, 186, 201, 329, 394, 417, 450, 507	[118, 186, 201, 329, 394, 417, 450, 507]
8	4	3	to mount gallen	181	355	2	A	177, 180, 181, 201, 348, 450, 507, 531	[177, 180, 181, 201, 348, 450, 507, 531]
7	3	3	to mount basel	450	289	4	A	236, 295, 402, 417, 450, 507, 524	[236, 295, 402, 417, 450, 507, 524]
6	2	3	davos to mount	183	259	2	A	175, 177, 183, 210, 348, 433	[175, 177, 183, 210, 348, 433]
6	1	3	mount zermatt to	455	357	4	A	101, 106, 219, 387, 455, 457	[101, 106, 219, 387, 455, 457]
5	1	3	mount luzern .	571	465	2	B	107, 153, 327, 329, 571	[107, 153, 327, 329, 571]
4	1	3	to mount interlaken	563	404	2	A	160, 241, 455, 563	[160, 241, 455, 563]
4	4	3	to mount zermatt	368	224	1	B	210, 368, 375, 433	[210, 368, 375, 433]
3	3	3	mount neuchatel .	232	240	1	B	164, 232, 403	[164, 232, 403]
2	2	3	from mount interlaken	567	254	1	A	314, 567	[314, 567]
2	2	3	to bern .	595	3	1	A	593, 595	[593, 595]
21	1	2	mount bern	438	433	3	B	138, 152, 157, 160, 240, 241, 254, 258, 293, 313, 314, 326, 327, 394, 402, 438, 455, 475, 565, 567, 570	[138, 152, 157, 160, 240, 241, 254, 258, 293, 313, 314, 326, 327, 394, 402, 438, 455, 475, 565, 567, 570]
16	4	2	mount luzern	121	468	2	B	104, 107, 121, 153, 254, 257, 259, 260, 326, 327, 329, 394, 434, 455, 457, 571	[104, 107, 121, 153, 254, 257, 259, 260, 326, 327, 329, 394, 434, 455, 457, 571]
15	2	2	mount davos	179	436	3	A	118, 130, 175, 179, 196, 203, 210, 348, 387, 433, 450, 507, 551, 552, 553	[118, 130, 175, 179, 196, 203, 210, 348, 387, 433, 450, 507, 551, 552, 553]
14	6	2	mount zurich	118	406	2	B	102, 104, 118, 122, 157, 183, 186, 201, 328, 329, 394, 417, 450, 507	[102, 104, 118, 122, 157, 183, 186, 201, 328, 329, 394, 417, 450, 507]
12	2	2	mount zermatt	271	357	2	A	101, 106, 210, 219, 271, 368, 375, 387, 433, 451, 455, 457	[101, 106, 210, 219, 271, 368, 375, 387, 433, 451, 455, 457]
10	1	2	mount gallen	417	355	2	A	177, 180, 181, 201, 203, 348, 417, 450, 507, 531	[177, 180, 181, 201, 203, 348, 417, 450, 507, 531]
9	1	2	bern to	248	299	1	B	157, 160, 241, 248, 254, 326, 327, 402, 455	[157, 160, 241, 248, 254, 326, 327, 402, 455]
9	3	2	mount neuchatel	453	346	1	B	164, 232, 295, 403, 417, 453, 456, 507, 509	[164, 232, 295, 403, 417, 453, 456, 507, 509]
8	2	2	mount interlaken	455	408	4	A	160, 241, 314, 438, 455, 475, 563, 567	[160, 241, 314, 438, 455, 475, 563, 567]
7	7	2	interlaken .	303	404	2	A	160, 241, 303, 314, 404, 438, 563	[160, 241, 303, 314, 404, 438, 563]
7	2	2	luzern .	108	465	1	B	107, 108, 153, 327, 329, 330, 571	[107, 108, 153, 327, 329, 330, 571]
6	3	2	neuchatel .	232	240	2	B	164, 229, 232, 284, 286, 403	[164, 229, 232, 284, 286, 403]
5	1	2	basel to	593	354	1	A	240, 328, 450, 507, 593	[240, 328, 450, 507, 593]
5	1	2	gallen .	201	352	2	A	180, 190, 201, 348, 531	[180, 190, 201, 348, 531]
5	1	2	neuchatel to	595	301	2	A	295, 417, 450, 507, 595	[295, 417, 450, 507, 595]
5	5	2	zurich .	606	485	4	B	122, 124, 157, 328, 606	[122, 124, 157, 328, 606]
3	3	2	basel and	595	360	2	A	236, 417, 595	[236, 417, 595]
3	3	2	interlaken and	405	302	1	B	293, 405, 594	[293, 405, 594]
3	3	2	to basel	593	38	1	B	558, 593, 595	[558, 593, 595]
3	3	2	to interlaken	304	6	2	B	299, 303, 304	[299, 303, 304]
3	3	2	zermatt ?	376	9	2	A	368, 375, 376	[368, 375, 376]
2	2	2	, interlaken	594	191	1	B	404, 594	[404, 594]
