Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns	utterances	tokens	priming_token	establish_token
2	2	6	mount davos to mount zermatt .	202	81	1	A	122, 202	[122, 202]	[684, 1197]	684	1197
5	5	5	mount bern to mount basel	143	205	1	A	56, 143, 253, 254, 260	[56, 143, 253, 254, 260]	[303, 796, 1534, 1543, 1572]	303	796
2	2	5	go from mount basel to	150	125	1	A	26, 150	[26, 150]	[106, 832]	106	832
2	2	5	mount montreux to mount neuchatel	276	106	1	A	171, 276	[171, 276]	[1001, 1648]	1001	1648
2	2	5	mount zurich to mount bern	232	94	1	A	139, 232	[139, 232]	[779, 1429]	779	1429
9	9	4	mount zermatt to mount	186	143	2	B	126, 161, 186, 187, 193, 195, 205, 212, 268	[126, 161, 186, 187, 193, 195, 205, 212, 268]	[706, 912, 1088, 1099, 1132, 1147, 1215, 1271, 1610]	706	1088
8	3	4	mount bern to mount	157	205	1	A	56, 143, 157, 238, 243, 253, 254, 260	[56, 143, 157, 238, 243, 253, 254, 260]	[303, 796, 883, 1456, 1477, 1534, 1543, 1572]	303	883
4	4	4	mount luzern to mount	207	164	1	A	63, 207, 217, 226	[63, 207, 217, 226]	[372, 1224, 1328, 1392]	372	1224
4	2	4	mount montreux to mount	170	197	1	A	80, 170, 171, 276	[80, 170, 171, 276]	[448, 982, 1001, 1648]	448	982
4	4	4	to mount davos .	207	158	2	A	57, 195, 207, 214	[57, 195, 207, 214]	[320, 1149, 1226, 1295]	320	1226
4	2	4	to mount zermatt .	202	176	2	A	63, 122, 202, 238	[63, 122, 202, 238]	[374, 686, 1199, 1458]	374	1199
3	1	4	mount davos to mount	202	142	2	A	61, 122, 202	[61, 122, 202]	[348, 684, 1197]	348	1197
3	1	4	mount zurich to mount	232	98	2	A	135, 139, 232	[135, 139, 232]	[751, 779, 1429]	751	1429
2	2	4	to mount neuchatel ?	276	191	1	A	86, 276	[86, 276]	[487, 1650]	487	1650
9	1	3	mount bern to	282	227	1	A	56, 143, 157, 238, 243, 253, 254, 260, 282	[56, 143, 157, 238, 243, 253, 254, 260, 282]	[303, 796, 883, 1456, 1477, 1534, 1543, 1572, 1692]	303	1692
9	4	3	to mount basel	143	220	4	A	41, 56, 89, 135, 143, 176, 253, 254, 260	[41, 56, 89, 135, 143, 176, 253, 254, 260]	[212, 305, 502, 753, 798, 1038, 1536, 1545, 1574]	212	798
9	9	3	to mount interlaken	94	254	3	A	26, 80, 89, 94, 95, 154, 163, 243, 279	[26, 80, 89, 94, 95, 154, 163, 243, 279]	[110, 450, 512, 548, 558, 862, 933, 1479, 1673]	110	548
9	5	3	to mount zermatt	202	206	4	A	63, 99, 122, 130, 202, 217, 222, 238, 268	[63, 99, 122, 130, 202, 217, 222, 238, 268]	[374, 573, 686, 733, 1199, 1330, 1365, 1458, 1609]	374	1199
8	4	3	to mount davos	207	159	4	A	57, 119, 195, 205, 207, 212, 214, 215	[57, 119, 195, 205, 207, 212, 214, 215]	[320, 666, 1149, 1217, 1226, 1273, 1295, 1307]	320	1226
5	1	3	luzern to mount	207	164	2	A	63, 128, 207, 217, 226	[63, 128, 207, 217, 226]	[373, 715, 1225, 1329, 1393]	373	1225
5	1	3	montreux to mount	170	197	2	A	80, 163, 170, 171, 276	[80, 163, 170, 171, 276]	[449, 932, 983, 1002, 1649]	449	983
5	1	3	mount davos .	212	158	2	A	57, 195, 207, 212, 214	[57, 195, 207, 212, 214]	[321, 1150, 1227, 1277, 1296]	321	1277
4	2	3	mount basel to	150	125	3	A	26, 89, 95, 150	[26, 89, 95, 150]	[108, 510, 556, 834]	108	834
2	2	3	neuchatel to mount	173	80	1	B	94, 173	[94, 173]	[547, 1024]	547	1024
20	3	2	mount zermatt	126	206	4	A	63, 99, 112, 122, 126, 130, 161, 186, 187, 193, 195, 202, 205, 208, 210, 212, 217, 222, 238, 268	[63, 99, 112, 122, 126, 130, 161, 186, 187, 193, 195, 202, 205, 208, 210, 212, 217, 222, 238, 268]	[375, 574, 631, 687, 706, 734, 912, 1088, 1099, 1132, 1147, 1200, 1215, 1240, 1260, 1271, 1331, 1366, 1459, 1610]	375	706
